Pod CPU Report

Namespace,Pod Name,CPU Request,CPU Limit,Avg CPU Usage(Cores),Suggested Request,90%tile CPU Usage,90%tile CPU Usage,Max CPU Usage
lacework,lacework-agent-hk6fp,0.02,inf,0.2970953432846419,0.31002200813178127,0.3188355335377536,0.32227627319666624,0.32227627319666624
spr-apps,lst-cross-env-services-deployment-5df99784d5-w27jc,0.2,inf,0.0497772989388704,0.05933644976908542,0.06823044102330669,0.0889957597288113,0.0889957597288113
spr-apps,standalone-backfill-matcher-split-consumer-deployment-5b58764rs,5.2,inf,0.06915371416666787,0.08236186985731163,0.07938811629772,0.13081028404508738,0.13081028404508738
spr-apps,standalone-bmk-signal-visual-enrichment-backfill-deploymenfs2cd,2.2,inf,0.06494083738537584,0.07558911043289543,0.09057177586005916,0.09473970344415429,0.0947397034441543
spr-apps,standalone-bmk-txt-enrichment-backfill-deployment-56c5d798smdkj,4.2,inf,0.06684135058917368,0.08449103065683117,0.10777261902532273,0.14088934272833176,0.14088934272833176
spr-apps,standalone-enriched-matcher-global-tier4-v2-deployment-c7fkhhxs,3.2,inf,1.1268031662191142,1.2403350894087763,1.3117461890271618,1.394967573466422,1.4587653140731405
spr-apps,standalone-lst-global-rdb-es-save-deployment-765c88cf69-cpmwp,2.2,inf,0.902787950223817,0.9772515710752533,1.0245565953513598,1.0764926666031176,1.0764926666031176
spr-apps,standalone-lst-insights-tagging-tier1-deployment-5ff6f5599wzvnd,2.2,inf,0.05317114334071326,0.05658226534507517,0.06125899499725833,0.06629757562222413,0.06629757562222413
spr-apps,standalone-lst-ml-firehose-deployment-5c4b874895-lqpks,2.2,inf,0.1835071274997091,0.21079687882782533,0.24014028447237787,0.26305128859099636,0.26305128859099636
spr-apps,standalone-lst-ml-internal-deployment-679cc6b454-ghd2v,2.2,inf,0.19880220674529453,0.2336054849663247,0.23009395204051128,0.23324803601355415,0.23403655700681486
spr-apps,standalone-lst-ml-tier1-deployment-5c587d6bb7-28mwv,2.2,inf,0.9378862956630131,1.2304459538411905,1.2605251987156985,1.3503414031694954,1.3727954542829446
spr-apps,standalone-lst-ml-tier3-deployment-f5d97dc4f-vkmmb,3.2,inf,0.37738281588920464,0.43480048982567104,0.46886202400880383,0.5307504402855368,0.5307504402855368
spr-apps,standalone-lst-review-dedup-processor-deployment-6777cb4b67zk25,1.2,inf,0.06298875870313034,0.08475311616782413,0.12159684510862792,0.1330528042035869,0.1330528042035869
spr-apps,standalone-lst-visual-global-remote-matcher-deployment-66dmb7h5,3.2,inf,1.5893868941786122,1.7891951144122435,1.7165440668962266,1.7278469266933478,1.7306726416426281
spr-apps,standalone-standalone-firehose-anomaly-aggregate-deploymenkjtxr,4.2,inf,0.2935996599226176,0.40326323192647223,0.5472504511255258,0.5728788377527518,0.5728788377527518
spr-apps,standalone-standalone-hulk-backfill-sink-data-rule-deploym7lqmv,4.2,inf,0.06043724532691426,0.06371090648667577,0.06815881818535649,0.07323818868072043,0.07323818868072043
spr-apps,standalone-standalone-hulk-subscription-delayed-deploymentzvgcf,1.2,inf,0.16689711601451526,0.17215015468239742,0.1752952011202185,0.1803286264941198,0.1803286264941198
