Pod Memory Report

Namespace,Pod Name,Memory Request,Memory Limit,Avg Memory Usage,Suggested Request,90%tile Memory Usage,90%tile Memory Usage,Max Memory Usage
kube-system,kube-proxy-lhr9g,0,inf,50239051.54098361,50621829.46436101,51048448.0,51273728.0,51273728
lacework,lacework-agent-p2xf7,3040870400,inf,1476372446.4262295,1479660844.6839952,1480957952.0,1480957952.0,1480957952
kube-system,aws-node-nqlfd,0,inf,368490596.72131145,368798707.0570442,368902144.0,368902144.0,368902144
kube-system,ebs-csi-node-rnqj9,1610612736,inf,53435811.67213115,53662763.38488585,54026240.0,54026240.0,54026240
kube-system,kube-proxy-9chzt,0,inf,49872963.14754099,50260303.05877907,50769920.0,51036160.0,51036160
lacework,lacework-agent-fxl5d,3040870400,inf,1280976660.9836066,1283322762.3420773,1282277376.0,1282277376.0,1282277376
monitoring,prometheus-node-exporter-bcdgt,125829120,inf,39856765.90163934,39876732.73226224,39878656.0,39903232.0,39903232
kube-system,aws-node-mrfl7,0,inf,521274015.47540987,521741806.1607995,522219520.0,522219520.0,522219520
kube-system,ebs-csi-node-z9hhh,1610612736,inf,144916077.1147541,145226643.51751152,145465344.0,145465344.0,145465344
kube-system,kube-proxy-9khd4,0,inf,159300490.4918033,159826244.24617386,160477184.0,160477184.0,160477184
monitoring,filebeat-k9768,3600000000,inf,1776101342.4262295,1789686034.217062,1794809856.0,1803686707.2,1817001984
kube-system,aws-node-5ctj7,0,inf,392514308.1967213,392865017.29161143,393064448.0,393075916.8,393093120
kube-system,ebs-csi-node-gzcb2,1610612736,inf,53938478.163934425,54109294.06567284,54247424.0,54247424.0,54247424
kube-system,kube-proxy-5jlsr,0,inf,49974557.37704918,50626761.62259557,51576832.0,51576832.0,51576832
lacework,lacework-agent-tzxmt,3040870400,inf,1262192606.4262295,1269460688.0907016,1270235136.0,1274159104.0,1274159104
linkerd,linkerd-destination-6bb7f9fcbf-k4ngw,6392119296,inf,1341793800.3934426,1342403472.3309627,1342771200.0,1342795776.0,1342795776
linkerd,linkerd-identity-8f6cb84fd-zqlm4,1048576000,inf,65680702.95081967,67097121.37198161,67895296.0,68067328.0,68067328
linkerd,linkerd-proxy-injector-6d8fdb549b-dtq5g,4819255296,inf,642623790.1639345,648078865.8899128,658911232.0,658911232.0,658911232
linkerd-viz,tap-74db5d8657-85pfw,1258291200,inf,510076625.8360656,510526577.5163357,510296064.0,510296064.0,510296064
monitoring,filebeat-rn2zj,3600000000,inf,1462117292.0655737,1637118252.6959717,1681600512.0,1698689024.0,1698689024
kube-system,ebs-csi-node-8dzxz,1610612736,inf,53108736.0,53332252.784706056,53329920.0,53772288.0,53772288
